단지명,계약일자,거래금액,전용면적,층,건축년도,도로명
흥한타운2,2023-02-27,16000,59.935,14,1995,평거로139번길
주공그린빌,2023-02-17,17600,59.27,4,2005,내동로348번길
진주혁신도시중흥에스-클래스더프라임,2023-02-27,47000,84.9858,7,2019,소호로19번길
스카이시티프라디움,2023-02-11,39000,84.9898,3,2019,개양로
현대,2023-02-11,19000,59.92,4,2000,진주대로815번길
센트렐웰가,2023-02-25,46000,84.9914,25,2018,진주역로73번길
대림,2023-02-13,13900,136.3,6,1993,향교로115번길
제일풍경채,2023-02-24,42000,110.7705,11,2007,가좌안골길21번길
더퀸즈웰가,2023-02-25,31600,66.3912,7,2015,새평거로
현대,2023-02-10,19500,84.945,11,1992,진양호로51번길
흥한타운2,2023-02-28,17000,59.935,2,1995,평거로139번길
혁신도시엘에이치아파트9단지,2023-02-25,26000,59.97,1,2017,사들로
휴앤인엘리시움,2023-02-19,37000,84.8578,23,2019,에나로
진주초장엠코타운더이스턴파크,2023-02-15,28500,73.6669,18,2014,초북로
센트렐웰가,2023-02-26,49000,84.9222,32,2018,진주역로73번길
진주혁신코오롱하늘채,2023-02-18,31000,75.99,2,2014,사들로
평거현대2,2023-02-13,15250,59.92,1,1994,신안들말길
평거현대2,2023-02-02,28000,146.17,14,1994,신안들말길
들말대경,2023-02-28,27000,84.99,15,1998,석갑로53번길
삼성,2023-02-25,15200,59.886,4,1996,동부로43번길
들말대경,2023-02-28,19300,59.595,13,1998,석갑로53번길
초전흥한,2023-02-28,15500,59.85,6,2001,초전남로
평거현대1,2023-02-28,15200,59.4,9,1993,평거로115번길
진주혁신도시센텀리버파크,2023-02-22,28000,84.95,17,2013,사들로
한보하이타운,2023-02-27,12900,55.01,16,1995,순환로553번길
문산한양하이빌,2023-02-08,14500,79.0,5,2001,월아산로
진주강남동일동미라주,2023-02-09,34600,84.9806,20,2021,진주대로891번길
진주정촌대경파미르,2023-02-18,32000,84.9426,14,2019,삼일로106번길
센트렐웰가,2023-02-25,45000,84.8133,11,2018,진주역로73번길
진주문산코아루,2023-02-28,24500,84.9867,4,2010,월아산로1117번길
망경한보타운,2023-02-12,10800,59.44,2,1997,망경로
현대,2023-02-15,24500,84.98,4,2000,진주대로815번길
진주혁신도시라온프라이빗아파트,2023-02-25,41500,84.9087,3,2017,대밭골로
한주럭키타운,2023-02-09,23300,84.81,15,1990,진주대로
진주강남동일동미라주,2023-02-01,32800,84.9831,26,2021,진주대로891번길
혁신도시엘에이치아파트9단지,2023-02-18,26700,59.97,3,2017,사들로
현대,2023-02-10,13500,84.99,3,1991,모덕로181번길
진주혁신코오롱하늘채,2023-02-23,35500,84.95,7,2014,사들로
가좌주공2차,2023-02-28,12000,38.64,11,1993,가호로
가좌주공1차,2023-02-25,12500,41.3,5,1993,가호로
센트렐웰가,2023-02-27,49500,84.8133,18,2018,진주역로73번길
힐스테이트초전,2023-02-28,42700,84.9196,31,2019,초북로
진주혁신도시대방노블랜드더캐슬아파트,2023-02-17,56000,84.9474,18,2018,사들로
한보타운,2023-02-28,11700,84.6,2,1993,진양호로97번길
혁신도시엘에이치아파트9단지,2023-02-14,29500,59.97,14,2017,사들로
평거휴먼시아4단지,2023-02-26,32200,84.95,2,2011,새평거로
진주센트럴자이,2023-02-28,33500,84.956,9,2013,도동천로
신안주공1,2023-02-20,27000,84.98,2,1998,신안들말길
현대,2023-02-13,14000,82.56,9,1985,강남로255번길
그린타운,2023-02-27,9000,59.4,6,1992,석갑로156번길
초전해모로루비채2단지,2023-02-22,32000,84.9671,21,2014,초북로
상봉2,2023-02-23,6000,53.85,2,1986,진주성로147번길
현대,2023-02-11,17500,84.945,11,1992,진양호로51번길
순화스타씨티,2023-02-28,18700,84.7215,7,2007,진주대로954번길
신안주공2,2023-02-26,15400,59.8,10,1996,신안들말길
금호석류,2023-02-24,39000,122.49,1,1999,강남로
진주푸르지오2단지,2023-02-07,18200,59.924,14,2007,덕의길
혁신도시엘에이치아파트9단지,2023-02-28,28000,59.97,24,2017,사들로
힐스테이트초전,2023-02-25,40800,84.9351,20,2019,초북로
금호석류,2023-02-25,20500,59.99,10,1999,강남로
엠코타운더프라하,2023-02-27,43700,84.9651,35,2014,새평거로
대림,2023-02-27,9800,59.91,7,1995,말티고개로
진주혁신도시중흥에스-클래스더퍼스트,2023-02-27,59000,99.864,3,2020,충의로
엠코타운더프라하,2023-02-10,39000,84.933,1,2014,새평거로
진주혁신도시중흥에스-클래스더프라임,2023-02-18,47000,84.9858,13,2019,소호로19번길
일동,2023-02-22,10300,59.86,4,1994,초전북로
금산흥한골든빌,2023-02-03,12000,58.12,15,2002,금산로
한보은빛마을,2023-02-04,25500,109.17,4,2002,천수로
평거현대1,2023-02-25,26200,114.59,11,1993,평거로115번길
힐스테이트초전,2023-02-20,35500,84.9196,3,2019,초북로
혁신도시엘에이치아파트9단지,2023-02-22,26500,59.97,3,2017,사들로
현대,2023-02-25,13100,59.89,25,1996,하대로
동서훼밀리,2023-02-26,6500,55.89,1,1992,선학산길
평거휴먼시아4단지,2023-02-26,35000,84.99,10,2011,새평거로
진주혁신도시센텀리버파크,2023-02-17,32000,75.97,12,2013,사들로
들말한보타운,2023-02-25,16000,59.8,1,1997,평거로39번길
혁신도시엘에이치아파트8단지,2023-02-22,27700,59.97,17,2015,사들로
더퀸즈웰가,2023-02-18,40500,84.7157,21,2015,새평거로
진주강남동일동미라주,2023-02-10,37900,84.9806,27,2021,진주대로891번길
가좌주공1차,2023-02-12,16300,49.94,4,1993,가호로
힐스테이트초전,2023-02-14,44000,84.9196,8,2019,초북로
진주혁신도시센텀리버파크,2023-02-15,35900,84.95,11,2013,사들로
진주혁신도시센텀리버파크,2023-02-23,35300,84.95,10,2013,사들로
도동대림빌라,2023-02-15,19300,159.38,5,1995,하대로40번길
진주혁신도시중흥에스-클래스더프라임,2023-02-20,49000,84.9912,14,2019,소호로19번길
이지더원,2023-02-22,42300,84.9614,13,2018,초장로
주공그린빌,2023-02-15,17500,59.27,3,2005,내동로348번길
신안주공1,2023-02-24,26000,84.53,7,1998,신안들말길
금산e편한세상,2023-02-14,21100,84.9746,12,2008,금산순환로80번길
한주타운,2023-02-24,17900,74.95,3,1992,진주대로1208번길
영남맨션,2023-02-09,8600,83.4,1,1989,신안로
혁신도시엘에이치아파트9단지,2023-02-22,30700,59.97,25,2017,사들로
한림풀에버,2023-02-24,39800,84.9088,7,2015,소호로
대영,2023-02-16,8300,65.97,1,1992,말티고개로
주공그린빌,2023-02-11,16500,51.74,15,2005,내동로348번길
신안주공2,2023-02-18,15700,59.8,6,1996,신안들말길
월드트레비앙,2023-02-05,22500,84.58,8,2005,돗골로106번길
상대한보타운,2023-02-07,28000,119.88,4,2002,도동천로
진주강남동일동미라주,2023-02-18,31000,75.998,25,2021,진주대로891번길
진주혁신도시중흥에스-클래스더퍼스트,2023-02-10,69000,113.4763,6,2020,충의로
한보타워,2023-02-21,14000,82.73,5,1991,남강로491번길
일동,2023-02-14,11500,59.86,3,1994,초전북로
화인,2023-02-20,8500,83.435,1,1994,상봉대룡길
이화맨션,2023-02-18,11800,84.63,4,1989,망경남길
힐스테이트초전,2023-02-20,41000,84.9196,25,2019,초북로
현대,2023-02-15,18700,84.55,4,1989,천수로
동신,2023-02-17,6250,59.92,12,1992,광제산로
화인,2023-02-03,7100,65.07,1,1994,상봉대룡길
한주타운,2023-02-21,14600,59.1,4,1992,진주대로1208번길
