단지명,계약일자,거래금액,전용면적,층,건축년도,도로명
,2024-03-09,18400,147.33,8,1989,진주대로986번길
,2024-03-07,6900,49.05,3,1986,평거로264번길
,2024-03-20,13600,46.9,3,2017,하대로26번길
,2024-03-24,7500,77.92,4,1991,숙호산로
,2024-03-14,3800,59.35,4,1990,남강로1069번길
,2024-03-18,9100,78.31,5,1988,천수로298번길
,2024-03-22,17500,84.6132,9,2007,중천로67번길
,2024-03-21,14500,126.36,7,1989,진주대로986번길
,2024-03-09,9500,76.28,2,2001,대신로307번길
,2024-03-13,8000,54.24,3,1987,숙호산로
,2024-03-05,12800,59.73,8,1998,신안로
,2024-03-07,7650,59.49,2,1987,서장대로278번길
,2024-03-01,9800,84.63,5,1988,신안로164번길
,2024-04-28,10900,84.64,13,1992,숙호산로
,2024-04-24,13400,83.64,8,1992,숙호산로
,2024-04-26,6400,40.56,2,1987,숙호산로
,2024-04-16,12000,59.857,10,2016,동부로1959번길
,2024-04-20,19500,84.58,4,2005,돗골로106번길
,2024-04-22,18100,84.97,7,2001,도동로263번길
,2024-04-20,8900,59.89,3,1996,숙호산로
,2024-04-15,20000,78.54,1,2002,촉석로50번길
,2024-04-10,13800,50.94,2,2017,하대로26번길
,2024-04-18,2000,14.63,2,2003,북장대로35번길
,2024-04-01,17000,84.6132,17,2007,중천로67번길
,2024-04-19,8200,63.75,5,1987,서장대로393번길
,2024-04-19,9750,84.63,3,1988,신안로164번길
,2024-04-08,8300,56.26,2,1990,하대로106번길
,2024-04-04,8700,58.55,6,2004,북장대로63번길
,2024-05-25,12500,58.284,9,2016,동부로1959번길
,2024-05-12,11000,75.73,3,1989,하대로106번길
,2024-05-29,5300,54.24,4,1987,숙호산로
,2024-05-11,6300,66.24,6,1991,숙호산로
,2024-05-03,16000,81.5,3,2004,대신로299번길
,2024-05-23,9000,83.24,3,1987,서장대로278번길
,2024-05-19,8200,66.6,3,1986,모덕로64번길
,2024-05-15,10900,76.55,3,1990,하대로106번길
,2024-05-16,17000,84.6132,6,2007,중천로67번길
,2024-05-07,18000,81.81,2,2017,하대로26번길
,2024-05-09,12400,84.96,2,1991,남강로503번길
,2024-05-02,16000,136.3,12,1993,향교로115번길
,2024-06-08,15300,83.26,2,1984,동진로119번길
,2024-06-03,19000,84.732,7,2011,진양호로570번길
,2024-06-25,6800,82.3,5,1989,서장대로213번길
,2024-06-11,7500,59.19,2,1985,동진로
,2024-06-04,6300,59.35,1,1990,남강로1069번길
,2024-06-03,3800,54.24,5,1987,숙호산로
,2024-07-25,14500,52.47,6,2017,하대로26번길
,2024-07-25,12800,59.73,10,1998,신안로
,2024-07-02,9200,72.26,2,1988,평거로284번길
,2024-07-07,6500,77.92,3,1991,숙호산로
,2024-07-14,19000,84.58,9,2005,돗골로106번길
,2024-07-04,10000,84.64,7,1992,숙호산로
,2024-07-10,9300,78.31,3,1988,천수로298번길
,2024-07-08,12500,61.64,4,2005,창렬로14번길
,2024-08-22,6200,64.5,4,1990,망진산길
,2024-08-27,12000,58.284,5,2016,동부로1959번길
,2024-08-13,12000,146.39,1,1990,석갑로173번길
,2024-08-07,9000,84.79,1,1993,의병로243번길
,2024-08-19,9500,78.92,3,1996,숙호산로
,2024-08-02,7400,59.79,3,1990,공단로236번길
,2024-08-01,15900,84.96,4,1991,남강로503번길
,2024-08-02,18700,84.6132,3,2007,중천로67번길
,2024-08-02,14500,59.99,11,2002,촉석로50번길
,2024-09-30,14200,59.99,4,2002,촉석로50번길
,2024-09-30,5500,58.18,4,1990,공단로236번길
,2024-09-13,17300,84.6974,5,2001,천수로298번길
,2024-09-20,7300,59.49,4,1987,서장대로278번길
,2024-09-12,15100,106.61,4,2005,창렬로14번길
,2024-09-10,3500,30.66,3,2002,비봉로57번길
,2024-09-10,8500,84.87,4,1994,진의로1079번길
,2024-09-02,3400,51.54,4,1990,망진산길
,2024-10-18,9000,77.55,5,1989,숙호산로
,2024-10-15,6500,58.18,1,1990,공단로236번길
,2024-10-29,16500,81.6426,7,2020,광제산로26번길
,2024-10-26,13000,80.24,3,1990,석갑로142번길
,2024-10-09,8500,84.63,5,1989,망경남길
,2024-10-27,3300,30.6298,3,2004,북장대로35번길
,2024-10-27,4000,35.6478,2,2004,북장대로35번길
,2024-10-05,8300,79.62,4,1991,하대로105번길
,2024-10-09,22500,84.6132,6,2007,중천로67번길
,2024-10-18,17000,84.87,6,1998,신안로
,2024-10-11,4800,77.92,6,1991,숙호산로
,2024-10-08,9300,84.15,2,1987,북장대로6번길
,2024-10-07,13500,138.9,1,1993,의병로243번길
,2024-10-03,10500,84.2,12,1993,향교로115번길
,2024-11-27,4300,34.56,3,2002,비봉로57번길
,2024-11-13,10700,83.24,3,1987,서장대로278번길
,2024-11-07,7000,84.15,3,1987,북장대로6번길
,2024-11-19,7000,59.83,5,1994,진의로1079번길
,2024-11-11,12800,84.96,2,1991,남강로503번길
,2024-11-01,17850,126.36,6,1989,진주대로986번길
,2024-11-06,4900,80.38,6,1991,숙호산로
,2024-11-05,13500,41.94,6,2017,하대로26번길
,2024-12-25,19500,84.4724,4,2005,진주대로1178번길
,2024-12-30,9000,84.2,10,1993,향교로115번길
,2024-12-10,14000,83.26,3,1984,동진로119번길
,2024-12-17,7500,83.24,2,1987,서장대로278번길
,2024-12-20,12000,41.94,2,2017,하대로26번길
,2024-12-20,10500,66.6,3,1986,모덕로64번길
,2024-12-15,15900,104.8,1,1989,모덕로270번길
,2024-12-12,6500,40.56,4,1987,숙호산로
,2024-12-05,10400,59.19,1,1985,동진로
,2024-12-06,12500,58.284,7,2016,동부로1959번길
,2024-12-03,10800,84.99,2,1993,의병로243번길
,2025-01-30,12000,76.86,3,1986,진주대로1195번길
